,council_name,number,person_name
14507,平成11年 第3回定例会（第4日7月12日）,10,橋本恵美子
14508,平成11年 第3回定例会（第4日7月12日）,11,市田忠夫
14509,平成11年 第3回定例会（第4日7月12日）,12,岩為俊
14510,平成11年 第3回定例会（第4日7月12日）,13,藤田頼夫
14511,平成11年 第3回定例会（第4日7月12日）,14,稲垣芳広
14512,平成11年 第3回定例会（第4日7月12日）,15,筒井俊雄
14513,平成11年 第3回定例会（第4日7月12日）,16,岡本茂
14514,平成11年 第3回定例会（第4日7月12日）,17,堀田和喜
14515,平成11年 第3回定例会（第4日7月12日）,18,松雪芳信
14516,平成11年 第3回定例会（第4日7月12日）,19,森清
14517,平成11年 第3回定例会（第4日7月12日）,20,二木洋子
14518,平成11年 第3回定例会（第4日7月12日）,21,池下節夫
14519,平成11年 第3回定例会（第4日7月12日）,22,須磨章
14520,平成11年 第3回定例会（第4日7月12日）,23,小野貞雄
14521,平成11年 第3回定例会（第4日7月12日）,24,川口雅夫
14522,平成11年 第3回定例会（第4日7月12日）,25,源久忠仁
14523,平成11年 第3回定例会（第4日7月12日）,26,福井浩二
14524,平成11年 第3回定例会（第4日7月12日）,27,石橋守
14525,平成11年 第3回定例会（第4日7月12日）,28,根来勝利
14526,平成11年 第3回定例会（第4日7月12日）,29,大川肇
14527,平成11年 第3回定例会（第4日7月12日）,30,岡本嗣郎
14528,平成11年 第3回定例会（第4日7月12日）,31,高須賀嘉章
14529,平成11年 第3回定例会（第4日7月12日）,32,新家末吉
14530,平成11年 第3回定例会（第4日7月12日）,33,久保隆夫
14531,平成11年 第3回定例会（第4日7月12日）,34,段野啓三
14532,平成11年 第3回定例会（第4日7月12日）,35,村田君江
14533,平成11年 第3回定例会（第4日7月12日）,36,鳥本高男
14534,平成11年 第3回定例会（第5日7月13日）,1,三本登
14535,平成11年 第3回定例会（第5日7月13日）,2,角芳春
14536,平成11年 第3回定例会（第5日7月13日）,3,小西弘泰
14537,平成11年 第3回定例会（第5日7月13日）,4,吉田康人
14538,平成11年 第3回定例会（第5日7月13日）,5,林啓二
14539,平成11年 第3回定例会（第5日7月13日）,6,中浜実
14540,平成11年 第3回定例会（第5日7月13日）,7,久保隆
14541,平成11年 第3回定例会（第5日7月13日）,8,安好一弘
14542,平成11年 第3回定例会（第5日7月13日）,9,中村玲子
14543,平成11年 第3回定例会（第5日7月13日）,10,橋本恵美子
14544,平成11年 第3回定例会（第5日7月13日）,11,市田忠夫
14545,平成11年 第3回定例会（第5日7月13日）,12,岩為俊
14546,平成11年 第3回定例会（第5日7月13日）,13,藤田頼夫
14547,平成11年 第3回定例会（第5日7月13日）,14,稲垣芳広
14548,平成11年 第3回定例会（第5日7月13日）,15,筒井俊雄
14549,平成11年 第3回定例会（第5日7月13日）,16,岡本茂
14550,平成11年 第3回定例会（第5日7月13日）,17,堀田和喜
14551,平成11年 第3回定例会（第5日7月13日）,18,松雪芳信
